epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.8089,0.83418,3.70017,3.4897,0.98093,0.03636,0.36334,0.03794,0.02549,0.0464,0.5233,0.05906,0.03759,0.53424,2.04513,3.51704,0.91307,0,0,0
2,27.493,0.8794,3.42926,3.58759,0.99694,0.032,0.33803,0.03649,0.02531,0.04528,0.57195,0.06107,0.03871,0.52501,2.06336,3.50736,0.91015,1.1e-05,1.1e-05,1.1e-05
3,40.1834,0.81899,3.31702,3.6387,0.95021,0.03517,0.3361,0.0461,0.0312,0.04451,0.53914,0.06406,0.0411,0.50841,2.05779,3.49551,0.90249,2.178e-05,2.178e-05,2.178e-05
4,52.6755,0.77692,3.25722,3.44231,0.97758,0.03934,0.38476,0.07539,0.0564,0.04549,0.56674,0.0797,0.05886,0.48572,2.04769,3.48564,0.89262,3.23401e-05,3.23401e-05,3.23401e-05
5,65.3054,0.68835,2.52914,3.4599,0.92061,0.04734,0.45633,0.08261,0.06504,0.04865,0.61883,0.09759,0.06978,0.46171,2.00525,3.46974,0.88455,4.26802e-05,4.26802e-05,4.26802e-05
6,77.8432,0.66967,2.30379,3.38237,0.92065,0.05447,0.56904,0.10531,0.08635,0.05241,0.63779,0.11583,0.08742,0.45411,1.97473,3.43596,0.87348,5.28003e-05,5.28003e-05,5.28003e-05
7,90.5589,0.66852,2.17928,3.36145,0.9095,0.06204,0.61435,0.13307,0.11704,0.05743,0.65342,0.14659,0.10957,0.47158,1.88347,3.42003,0.87302,6.27004e-05,6.27004e-05,6.27004e-05
8,104.029,0.67041,2.03034,3.24487,0.917,0.06712,0.68556,0.15353,0.13362,0.0606,0.65951,0.16325,0.12348,0.49295,1.784,3.3995,0.87363,7.23805e-05,7.23805e-05,7.23805e-05
9,117.334,0.59084,1.90476,3.06721,0.93226,0.06977,0.7517,0.18388,0.15529,0.06322,0.69285,0.18121,0.1375,0.49992,1.75395,3.38148,0.87348,8.18407e-05,8.18407e-05,8.18407e-05
10,130.384,0.58338,1.74475,2.98547,0.90562,0.07396,0.79426,0.21524,0.18427,0.07117,0.77655,0.21553,0.16115,0.50042,1.73919,3.36741,0.86977,9.10809e-05,9.10809e-05,9.10809e-05
11,143.156,0.70983,1.64733,3.0492,0.89126,0.07341,0.79426,0.24442,0.20931,0.0722,0.79322,0.24849,0.1804,0.50858,1.76658,3.35705,0.86552,0.000100101,0.000100101,0.000100101
